Date;Time;Type;Information;Group;Code;Status;Class;Cause;Consequence;Action;Parameters

17-05-02;10:05:33;alarm;"Link up at device 172.23.7.251";Snmp;311;Pulse;D;"Node connected to device 172.23.7.251 located in Armadio308";"New device present in network";"No action required";"identity=20402434 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493719533 | microsecond=464620 | nbr_parameters=10 | os_date=2017:05:02 | os_time=16:00:48 | sys_up_time=138:11:17:09.80 | ip_address=172.23.7.251 | mac_address=00:07:7C:8F:B2:8E | location=Armadio308 | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 1 "
17-05-02;10:05:22;alarm;"Link down at device 172.23.7.251 located in Armadio308";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402433 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493719522 | microsecond=813818 | nbr_parameters=10 | os_date=2017:05:02 | os_time=16:00:37 | sys_up_time=138:11:16:59.15 | ip_address=172.23.7.251 | mac_address=00:07:7C:8F:B2:8E | location=Armadio308 | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 1 "
17-05-02;10:05:19;alarm;"Net spu-trans-secondary is up for 00:11:bd:02:26:8c";Yard;303;Pulse;D;"A previously malfunctioning network could now be used to communicate with one YCU";"The network spu-trans-secondary is now used";"No action required";"identity=20402432 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493719519 | microsecond=109142 | nbr_parameters=2"
17-05-02;10:05:19;alarm;"Net spu-trans is up for 00:11:bd:02:26:8c";Yard;303;Pulse;D;"A previously malfunctioning network could now be used to communicate with one YCU";"The network spu-trans is now used";"No action required";"identity=20402431 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493719519 | microsecond=109093 | nbr_parameters=2"
17-05-02;10:05:18;alarm;"Lost redundant YCU KC194. MAC address:00:11:bd:02:17:01";Yard;206;Pulse;B;"Data for one redundant YCU is missing. The YCU is out of order or network problem";"Reduced YCU redundancy";"Check the YCU and the yard transmission network";"identity=20402430 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493719518 | microsecond=827506 | nbr_parameters=2"
17-05-02;10:05:18;alarm;"YCU informational message";Yard;202;Pulse;D;"Configuration no longer valid for YCU instance 00:11:bd:02:17:01, The YCU is probably replaced";"None";"No action required";"identity=20402429 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493719518 | microsecond=827456 | nbr_parameters=1"
17-05-02;10:05:12;alarm;"Link up at device 172.23.6.253";Snmp;311;Pulse;D;"Node connected to device 172.23.6.253 located in Armadio306";"New device present in network";"No action required";"identity=20402428 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493719512 | microsecond=625356 | nbr_parameters=10 | os_date=2017:05:02 | os_time=16:00:27 | sys_up_time=138:11:17:05.01 | ip_address=172.23.6.253 | mac_address=00:07:7C:8F:B2:9A | location=Armadio306 | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 1 "
17-05-02;10:03:38;alarm;"Link down at device 172.23.6.253 located in Armadio306";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402427 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493719418 | microsecond=759458 | nbr_parameters=10 | os_date=2017:05:02 | os_time=15:58:53 | sys_up_time=138:11:15:31.22 | ip_address=172.23.6.253 | mac_address=00:07:7C:8F:B2:9A | location=Armadio306 | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 1 "
17-05-01;17:59:44;alarm;"Net spu-trans is up for 00:11:bd:02:17:2d";Yard;303;Pulse;D;"A previously malfunctioning network could now be used to communicate with one YCU";"The network spu-trans is now used";"No action required";"identity=20402426 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661584 | microsecond=371790 | nbr_parameters=2"
17-05-01;17:59:42;alarm;"Unknown YCUs has been detected (see yard view for details)";Yard;1002;Pulse;B;"The system receives data from an unknown YCU";"The unknown YCU will not be used";"Check the site data and the yard transmission network for unknown YCUs";"identity=20402425 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661582 | microsecond=260946 | nbr_parameters=5 | ycu=MAC: 00:11:bd:02:17:2d Primary net:  Primary net status: down Secondary net:  Secondary net status: down"
17-05-01;17:59:42;alarm;"Communication error detected in cabinet: ""Armadio306"" (see yard view for details)";Yard;1001;Pulse;A;"Network problem or defect equipment";"Possible loss of object controllers";"Check equipment and cables";"identity=20402424 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661582 | microsecond=260651 | nbr_parameters=8 | cabinet=Armadio306 | ycu=KC194 -Redundant: yes -Primary net:  -Primary net status: down -Secondary net:  -Secondary net status: down -MAC: "
17-05-01;17:59:40;alarm;"Net spu-trans-secondary is up for 00:11:bd:02:17:2d";Yard;303;Pulse;D;"A previously malfunctioning network could now be used to communicate with one YCU";"The network spu-trans-secondary is now used";"No action required";"identity=20402423 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661580 | microsecond=370385 | nbr_parameters=2"
17-05-01;17:59:40;alarm;"YCU informational message";Yard;202;Pulse;D;"Configuration no longer valid for YCU instance 00:11:bd:02:17:2d, The YCU is probably replaced";"None";"No action required";"identity=20402422 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661580 | microsecond=30265 | nbr_parameters=1"
17-05-01;17:59:40;alarm;"No matching configuration for YCU 00:11:bd:02:17:2d";Yard;210;Pulse;B;"One YCU is sending data which does not correspond to site data";"This YCU is not disregarded";"Check the site data and the object controller addresses connected to the YCU";"identity=20402421 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661580 | microsecond=30214 | nbr_parameters=1"
17-05-01;17:59:34;alarm;"Link up at device 172.23.7.251";Snmp;311;Pulse;D;"Node connected to device 172.23.7.251 located in Armadio308";"New device present in network";"No action required";"identity=20402420 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661574 | microsecond=406492 | nbr_parameters=10 | os_date=2017:05:01 | os_time=23:54:28 | sys_up_time=137:19:11:32.63 | ip_address=172.23.7.251 | mac_address=00:07:7C:8F:B2:8E | location=Armadio308 | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 1 "
17-05-01;17:59:33;alarm;"Link up at device 172.23.6.253";Snmp;311;Pulse;D;"Node connected to device 172.23.6.253 located in Armadio306";"New device present in network";"No action required";"identity=20402419 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661573 | microsecond=225617 | nbr_parameters=10 | os_date=2017:05:01 | os_time=23:54:27 | sys_up_time=137:19:11:47.42 | ip_address=172.23.6.253 | mac_address=00:07:7C:8F:B2:9A | location=Armadio306 | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 1 "
17-05-01;17:59:32;alarm;"Communication error detected in cabinet: ""Armadio306"" (see yard view for details)";Yard;1001;Pulse;A;"Network problem or defect equipment";"Possible loss of object controllers";"Check equipment and cables";"identity=20402418 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661572 | microsecond=259165 | nbr_parameters=8 | cabinet=Armadio306 | ycu=KC194 -Redundant: yes -Primary net:  -Primary net status: down -Secondary net:  -Secondary net status: down -MAC: "
17-05-01;17:59:24;alarm;"Net spu-trans-secondary is up for 00:11:bd:02:17:2d";Yard;303;Pulse;D;"A previously malfunctioning network could now be used to communicate with one YCU";"The network spu-trans-secondary is now used";"No action required";"identity=20402417 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661564 | microsecond=364813 | nbr_parameters=2"
17-05-01;17:59:23;alarm;"Link down at device 172.23.7.251 located in Armadio308";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402416 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661563 | microsecond=774688 | nbr_parameters=10 | os_date=2017:05:01 | os_time=23:54:17 | sys_up_time=137:19:11:22.01 | ip_address=172.23.7.251 | mac_address=00:07:7C:8F:B2:8E | location=Armadio308 | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 1 "
17-05-01;17:59:22;alarm;"Lost redundant YCU KC194. MAC address:00:11:bd:02:17:2d";Yard;206;Pulse;B;"Data for one redundant YCU is missing. The YCU is out of order or network problem";"Reduced YCU redundancy";"Check the YCU and the yard transmission network";"identity=20402415 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493661562 | microsecond=926569 | nbr_parameters=2"
